duplicate_group_id,referenceID,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool,og_row_number,decision
39,rbw13354,4.163605,51.0743,Sale,999000,House,Villa,46264,9220,2019.0,,222.0,3.0,2.0,False,,False,Negotiable,Oost vlaanderen,BOOTDIJKSTRAAT,49.0,2.0,,,,,,11064,
40,rbw18089,4.2395523,50.7973123,Sale,399000,Appartment,Flat,40373,1600,1984.0,Normal,114.0,3.0,1.0,False,46.0,False,,Vlaams brabant,Vlezenbeeklaan,95.0,2.0,,,,,,6072,
40,rbw18088,4.2395523,50.7973123,Sale,399000,Appartment,Flat,40373,1600,1984.0,Normal,114.0,3.0,1.0,False,46.0,False,,Vlaams brabant,Vlezenbeeklaan,95.0,2.0,,,,,,6068,
41,rbw16104,4.246474,51.21883,Sale,360000,Appartment,Flat,0,9120,2024.0,New,93.0,2.0,1.0,True,21.0,False,On contract,Oost vlaanderen,Glazenleeuwstraat,89.0,,,,,,,10870,
41,rbv84744,4.246474,51.21883,Sale,360000,Appartment,Flat,0,9120,2025.0,New,93.0,2.0,1.0,True,,False,On contract,Oost vlaanderen,Glazenleeuwstraat,89.0,1.0,,,,,,10964,
42,vbe35873,4.263916,50.7392326,Sale,390000,House,House,47636,1501,,,120.0,3.0,,,,,,Vlaams brabant,,,,,,,,,5876,
42,vbe35874,4.263916,50.7392326,Sale,390000,House,House,47636,1501,,,120.0,3.0,,,,,,Vlaams brabant,,,,,,,,,5882,
43,vbd97184,4.2689347,50.6802986,Sale,1695000,House,Villa,38563,1440,2020.0,Excellent,360.0,4.0,2.0,True,,,On contract,Brabant wallon,,,1.0,2409.0,,,,True,9552,
43,vbd96452,4.2689347,50.6802986,Sale,1695000,House,Villa,38563,1440,2020.0,Excellent,360.0,4.0,2.0,True,,,On contract,Brabant wallon,,,1.0,2409.0,,,,True,9554,
44,vbe28783,4.2781245,50.7642284,Sale,479000,Appartment,Loft,46133,1651,,,171.0,2.0,1.0,True,,,On contract,Vlaams brabant,Meanderveld,5.0,,,,,,,6460,
44,vbe28784,4.2781245,50.7642284,Sale,479000,Appartment,Loft,46133,1651,,,171.0,2.0,1.0,True,,,On contract,Vlaams brabant,Meanderveld,5.0,,,,,,,6453,
45,rbw24648,4.29432,50.82538,Sale,380000,House,House,30556,1070,,Normal,175.0,3.0,2.0,False,,False,Immediately,Brussels,Florimond de Pauwstraat,46.0,,,,,False,,4153,
45,rbw24647,4.29432,50.82538,Sale,380000,House,House,30556,1070,,Normal,175.0,3.0,2.0,False,,False,Immediately,Brussels,Florimond de Pauwstraat,46.0,,,,,False,,4161,
46,rbw01434,4.30666169,50.94452757,Sale,1450000,House,House,33657,1860,2004.0,,508.0,4.0,2.0,True,,False,From 01/01/2027,Vlaams brabant,Groene weg,3.0,2.0,2328.0,,,,,6615,
46,rbw01433,4.30666169,50.94452757,Sale,1450000,House,House,33657,1860,2004.0,,508.0,4.0,2.0,True,,False,From 01/01/2027,Vlaams brabant,Groene weg,3.0,2.0,2328.0,,,,,6604,
47,vbe35738,4.3108726,50.8396365,Sale,215000,Appartment,Flat,38610,1070,1960.0,Normal,83.0,2.0,1.0,False,15.0,False,,Brussels,Rue de la Verite,47.0,,,28482.0,,,,4186,
47,vbe35740,4.3108726,50.8396365,Sale,215000,Appartment,Flat,38610,1070,1960.0,Normal,83.0,2.0,1.0,False,15.0,False,,Brussels,Rue de la Verite,47.0,,,14215.0,,,,4178,
48,vbe33737,4.3131914,50.866262,Sale,109000,Appartment,FlatStudio,33417,1081,,To be renovated,30.0,,1.0,True,,False,,Brussels,Avenue de la Basilique,378.0,,,,,,,4492,
48,vbe33684,4.3131914,50.866262,Sale,109000,Appartment,FlatStudio,33417,1081,,To be renovated,30.0,,1.0,,,False,,Brussels,Avenue de la Basilique,378.0,,,,,,,4498,
49,rbv96680,4.3153898,50.9054669,Sale,469000,House,House,30482,1780,,New,152.0,3.0,1.0,,,,,Vlaams brabant,Schoon Dal,49.0,1.0,256.0,,,,,6651,
49,rbv96681,4.3153898,50.9054669,Sale,469000,House,House,30482,1780,,New,152.0,3.0,1.0,,,,,Vlaams brabant,Schoon Dal,49.0,1.0,256.0,,,,,6622,
