duplicate_group_id,referenceID,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool,og_row_number,decision
69,vbe26958,4.4688887,50.8369684,Rent,1490,Appartment,Flat,43157,1950,1969.0,Fully renovated,85.0,2.0,1.0,False,,False,Immediately,Vlaams brabant,Avenue Baron Albert d'Huart,120.0,1.0,,,,,False,1517,
69,vbe27064,4.4688887,50.8369684,Rent,1490,Appartment,Flat,27612,1950,1963.0,Fully renovated,85.0,2.0,1.0,False,3.0,False,Immediately,Vlaams brabant,Avenue Baron Albert d'Huart,120.0,1.0,,2836.0,,,,1507,
70,vbe30129,4.4734058,50.8782356,Rent,3300,House,House,46605,1930,2021.0,Excellent,240.0,4.0,3.0,False,50.0,True,,Vlaams brabant,Jan-Baptist Devlemincklaan,94.0,,521.0,,225.0,,,1466,
70,vbe25968,4.4734058,50.8782356,Rent,3300,House,House,46605,1930,2021.0,Excellent,240.0,3.0,3.0,False,50.0,True,,Vlaams brabant,Jan-Baptist Devlemincklaan,94.0,,521.0,,225.0,,False,1506,
71,vbc96242,4.4773456,50.8205507,Rent,1100,Appartment,Flat,46472,3080,,,,,,,,,From 04/09/2025,Vlaams brabant,Steenweg op Brussel Tervuren,,,,,,False,,1669,
71,vbc96243,4.4773456,50.8205507,Rent,1100,Appartment,Flat,46472,3080,,,,,,,,,From 04/09/2025,Vlaams brabant,Steenweg op Brussel Tervuren,,,,,,False,,1671,
72,vbe34971,4.4817021,51.0182811,Rent,700,House,House,46472,2800,,,,,,,,True,From 17/06/2026,Antwerp,Leopoldstraat Mechelen,,,20.0,,,False,,3566,
72,vbe34980,4.4817021,51.0182811,Rent,700,House,House,46472,2800,,,,,,,,True,From 17/06/2026,Antwerp,Leopoldstraat Mechelen,,,25.0,,,False,,3555,
73,vbe18364,4.4856707,50.7309955,Rent,1500,Appartment,Flat,45393,1310,2025.0,New,109.0,2.0,1.0,True,14.0,False,,Brabant wallon,,,1.0,,6742.0,,,False,2691,
73,vbe24596,4.4856707,50.7309955,Rent,1500,Appartment,Flat,39179,1310,2025.0,New,109.0,2.0,1.0,True,13.0,False,Immediately,Brabant wallon,,,,,6742.0,,,,2657,
74,vbe31997,4.5425766,50.8599487,Rent,3100,House,Villa,43700,3080,,Excellent,200.0,3.0,1.0,False,,True,,Vlaams brabant,Sijsjeslaan,22.0,1.0,,74189.0,,,,1443,
74,vbe19637,4.5425766,50.8599487,Rent,3100,House,Villa,42948,3080,,Excellent,200.0,3.0,1.0,False,,True,,Vlaams brabant,Sijsjeslaan,22.0,1.0,,74189.0,,,False,1574,
75,vbe26009,4.6107385,50.6348554,Rent,1350,Appartment,Flat,43788,1435,,Normal,130.0,2.0,1.0,False,5.0,False,Immediately,Brabant wallon,,,,,,,,,2645,
75,vbe28614,4.6107385,50.6348554,Rent,1350,Appartment,Flat,28980,1435,1970.0,Normal,130.0,3.0,1.0,False,6.0,False,Immediately,Brabant wallon,,,,,,,,,2611,
76,vbe21662,4.6468567,50.2451448,Rent,950,Appartment,Flat,47640,5620,,Excellent,128.0,2.0,,,,,,Namur,,,,,23311.0,,,,1752,
76,vbe22521,4.6468567,50.2451448,Rent,950,Appartment,Flat,47640,5620,,Excellent,128.0,2.0,,,,,,Namur,,,,,23311.0,,,,1750,
77,vbe36858,4.8623289,50.46696235,Rent,300,Appartment,FlatStudio,27315,5000,,,14.0,1.0,1.0,False,,False,,Namur,Rue Godefroid,21.0,,,,,,,1692,
77,vbe24114,4.8623289,50.46696235,Rent,300,Appartment,FlatStudio,27315,5000,,,14.0,1.0,1.0,False,,False,,Namur,Rue Godefroid,21.0,,,,,,,1821,
78,vbe19815,4.8662316,50.467218,Rent,750,Appartment,Flat,45932,5000,,Excellent,40.0,1.0,1.0,False,,,,Namur,Rue des Dames Blanches,42.0,,,975.0,,,False,1849,
78,vbe31295,4.8662316,50.467218,Rent,750,Appartment,Flat,45932,5000,,Excellent,40.0,1.0,1.0,False,,False,,Namur,Rue des Dames Blanches,42.0,,,4890.0,,,,1773,
79,rbv55974,5.1830938,50.8149124,Rent,1100,Appartment,Flat,44773,3800,,,,2.0,1.0,True,,,,Limburg,Ursulinenstraat,22.0,,,,,,,2893,
79,rbv55973,5.1830938,50.8149124,Rent,1100,Appartment,Flat,44773,3800,,New,,2.0,1.0,True,,,,Limburg,Ursulinenstraat,22.0,,,,,,,2898,
80,vbe31631,5.2216139,50.5456822,Rent,950,Appartment,Flat,27581,4520,2026.0,New,100.0,2.0,1.0,False,10.0,False,Immediately,Liège,Chaussée de Tirlemont,182.0,,,7496.0,,,,1086,
80,vbe31599,5.2216139,50.5456822,Rent,950,Appartment,Flat,27581,4520,2026.0,New,100.0,2.0,1.0,False,10.0,False,Immediately,Liège,Chaussée de Tirlemont,182.0,,,7660.0,,,,1082,
81,vbe26030,5.5218659,50.6571816,Rent,1000,Appartment,Flat,0,4430,2026.0,New,89.0,2.0,1.0,False,,False,Immediately,Liège,rue Charles Wiliam Preston,8.0,,,5099.0,,,False,1155,
81,vbe26031,5.5218659,50.6571816,Rent,1000,Appartment,Flat,0,4430,2026.0,New,89.0,2.0,1.0,False,,False,Immediately,Liège,rue Charles Wiliam Preston,8.0,,,5099.0,,,False,1154,
82,vbe26027,5.5218659,50.6571816,Rent,1150,Appartment,Flat,0,4430,2026.0,New,115.0,3.0,2.0,False,,False,Immediately,Liège,rue Charles Wiliam Preston,8.0,,,5099.0,,,False,1159,
82,vbe26028,5.5218659,50.6571816,Rent,1150,Appartment,Flat,0,4430,2026.0,New,115.0,3.0,1.0,False,,False,Immediately,Liège,rue Charles Wiliam Preston,8.0,,,5099.0,,,False,1156,
83,vbd77330,5.5649557,50.6370996,Rent,865,Appartment,Flat,46472,4000,,,,,,,,True,From 17/06/2026,Liège,Rue Darchis Liege,,,,,,False,,1298,
83,vbd77458,5.5649557,50.6370996,Rent,865,Appartment,Flat,46472,4000,,,,,,,,True,From 17/06/2026,Liège,Rue Darchis Liege,,,,,,False,,1285,
84,vbe05556,5.575073,50.667458,Rent,1290,Appartment,Duplex,39542,4041,2021.0,Normal,157.0,3.0,2.0,True,18.0,False,,Liège,Rue de Liège,210.0,,,16922.0,,,False,1205,
84,vbe10687,5.575073,50.667458,Rent,1290,Appartment,Duplex,39542,4041,2020.0,Normal,157.0,3.0,2.0,True,17.0,False,,Liège,Rue de Liège,210.0,,,16396.0,,,False,1244,
85,vbd94349,5.6313852,50.5130291,Rent,500,Appartment,Flat,39941,4140,,Normal,52.0,1.0,1.0,False,,False,Immediately,Liège,rue de l'enseignement,13.0,,,169848.0,,,False,1277,
85,vbd94348,5.6313852,50.5130291,Rent,500,Appartment,Flat,39941,4140,,Normal,52.0,1.0,1.0,False,,False,Immediately,Liège,rue de l'enseignement,13.0,,,169848.0,,,False,1280,
86,vbe22734,5.6422714,49.7289403,Rent,980,Appartment,Flat,47361,6720,2006.0,Normal,102.0,3.0,1.0,True,,,,Luxembourg,Rue de Bologne,19.0,,,25845.0,,,,3149,
86,vbe33366,5.6422714,49.7289403,Rent,980,Appartment,Flat,47361,6720,2006.0,Normal,102.0,3.0,1.0,True,,,,Luxembourg,Rue de Bologne,19.0,,,25845.0,,,,3139,
87,rbw18023,5.7935443,51.0947244,Rent,1100,Appartment,Flat,33494,3680,,New,,2.0,1.0,,,,Immediately,Limburg,Grote Kerkstraat,19.0,,,,,,,2839,
87,rbw18024,5.7935443,51.0947244,Rent,1100,Appartment,Flat,33494,3680,,New,,2.0,1.0,,,,Immediately,Limburg,Grote Kerkstraat,19.0,,,,,,,2840,
87,rbw18006,5.7935443,51.0947244,Rent,1100,Appartment,Flat,33494,3680,,New,,2.0,1.0,,,,Immediately,Limburg,Grote Kerkstraat,19.0,,,,,,,2841,
88,vbc52140,50.5463818,4.5351225,Rent,1250,House,House,28980,1495,,Normal,140.0,3.0,1.0,False,,False,Immediately,Brabant wallon,,,2.0,1500.0,,,,,2813,
88,vbb77893,50.5463818,4.5351225,Rent,1250,House,House,28980,1495,,Normal,140.0,3.0,1.0,False,,False,Immediately,Brabant wallon,,,2.0,1500.0,,,,,2821,
