duplicate_group_id,referenceID,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool,og_row_number,decision
30,vbe32538,4.3766927,50.8235717,Rent,1575,Appartment,Flat,37194,1050,1960.0,Excellent,94.0,2.0,1.0,True,,False,Immediately,Brussels,,,,,,,,,545,
30,vbe32539,4.3766927,50.8235717,Rent,1575,Appartment,Flat,37194,1050,,Excellent,94.0,2.0,1.0,True,,False,Immediately,Brussels,,,,,,,,,560,
31,vbe30841,4.3766927,50.8235717,Rent,1600,Appartment,Flat,46605,1050,,Excellent,117.0,2.0,2.0,True,8.0,False,,Brussels,,,,,20871.0,,,,818,
31,vbe30842,4.3766927,50.8235717,Rent,1600,Appartment,Flat,46605,1050,,Excellent,117.0,3.0,2.0,True,8.0,False,,Brussels,,,,,20871.0,,,,793,
32,vbe36442,4.3766927,50.8235717,Rent,1600,Appartment,Flat,40044,1050,,,,2.0,1.0,False,,True,From 18/06/2026,Brussels,,,,,,,,,85,
32,vbe36409,4.3766927,50.8235717,Rent,1600,Appartment,Flat,40044,1050,,,,2.0,1.0,False,,True,From 01/08/2026,Brussels,,,,,,,,,87,
32,vbe36388,4.3766927,50.8235717,Rent,1600,Appartment,Flat,40044,1050,,,,2.0,1.0,False,,True,From 15/07/2026,Brussels,,,,,,,,,103,
33,vbe34228,4.3766927,50.8235717,Rent,3300,Appartment,Flat,39602,1050,,,250.0,3.0,3.0,,50.0,,,Brussels,,,,,,,,,391,
33,vbe33653,4.3766927,50.8235717,Rent,3300,Appartment,Flat,39602,1050,,,250.0,3.0,3.0,,50.0,,,Brussels,,,,,,,,,444,
34,rbv75123,4.3789126,51.1869667,Rent,1099,Appartment,Flat,40684,2660,,,,1.0,,False,,,Immediately,Antwerp,Waarlooshofstraat,9.0,,,,,False,,3890,
34,rbv75122,4.3789126,51.1869667,Rent,1099,Appartment,Flat,40684,2660,,,,1.0,,False,,,Immediately,Antwerp,Waarlooshofstraat,9.0,,,,,False,,3891,
34,rbv75124,4.3789126,51.1869667,Rent,1099,Appartment,Flat,40684,2660,,,,1.0,,False,,,Immediately,Antwerp,Waarlooshofstraat,9.0,,,,,False,,3883,
35,vbe34294,4.3839305,50.8795423,Rent,950,Appartment,FlatStudio,44165,1030,2025.0,New,45.0,0.0,,True,7.0,False,,Brussels,Avenue Georges Rodenbach,65.0,,,,,,,375,
35,vbe30501,4.3839305,50.8795423,Rent,950,Appartment,FlatStudio,46605,1030,2025.0,New,45.0,,1.0,True,7.0,False,Immediately,Brussels,Avenue Georges Rodenbach,65.0,,,,,,,873,
