referenceID,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool,og_row_number
vbe30645,4.4722975,51.0336355,Rent,1600,Appartment,Flat,46472,2800,,,,,,,,True,From 16/06/2026,Antwerp,Guido Gezellelaan Mechelen,,,,,,False,,3643
rwc42643,4.4173379,51.2129862,Rent,5001,Appartment,Flat,48967,2018,,Excellent,100.0,3.0,2.0,,,True,From 31/05/2026,Antwerp,Lange Kievitstraat,4.0,,,,,,,3644
rwc42612,4.8052493,51.0726254,Rent,1000,Appartment,GroundFloor,0,2235,2008.0,Excellent,176.0,2.0,1.0,True,,,,Antwerp,Grote Baan,261.0,,,,,,False,3645
rbv94631,4.409559,51.22163,Rent,695,Appartment,FlatStudio,40406,2000,1983.0,Normal,28.0,,,True,,False,From 01/09/2026,Antwerp,Keizerstraat,55.0,,,,,,,3646
rbw12538,4.575459,51.13016,Rent,890,Appartment,Loft,40409,2500,1986.0,Normal,269.0,1.0,1.0,False,,False,Immediately,Antwerp,Berlaarsestraat,3.0,,,,,,,3647
rwc42640,4.397355,51.2116752,Rent,5527,Appartment,Flat,48967,2000,,Excellent,95.0,2.0,1.0,True,,True,From 09/08/2026,Antwerp,Geuzenstraat,11.0,,,,,,,3648
rbw03005,4.552683,51.13267,Rent,1100,Appartment,Flat,40409,2500,2022.0,New,90.0,3.0,1.0,True,,False,From 01/06/2026,Antwerp,Ten Rode,2.0,1.0,,,,,,3649
rbw09247,4.428308,51.22792,Rent,920,Appartment,Flat,40406,2060,,New,65.0,1.0,1.0,True,6.0,False,Immediately,Antwerp,Klamperstraat,48.0,,,,,,,3650
rbw12536,4.587376,51.13089,Rent,900,Appartment,Flat,40409,2500,2007.0,Excellent,82.0,2.0,1.0,False,,False,Immediately,Antwerp,Maasfortbaan,144.0,1.0,,,,,,3651
rbv96770,4.372451,51.18623,Rent,970,Appartment,Flat,40406,2660,,Normal,73.0,2.0,1.0,True,7.0,False,From 01/08/2026,Antwerp,Zeelandstraat,71.0,,,,,,,3652
rbw12537,4.57186,51.14442,Rent,1050,Appartment,Flat,40409,2500,,Excellent,119.0,2.0,1.0,False,,False,From 13/07/2026,Antwerp,Pannenhuisstraat,327.0,1.0,,,,,,3653
rbw16233,4.4349291,51.2145679,Rent,1200,Appartment,Flat,38196,2140,1971.0,,,2.0,1.0,False,4.0,,Immediately,Antwerp,Turnhoutsebaan,158.0,,,,,True,,3654
rbw13395,4.543681,51.35475405,Rent,1650,House,House,46059,2990,1993.0,Excellent,213.0,4.0,2.0,False,,False,Immediately,Antwerp,Waterdreef,26.0,,,,,,,3655
rbw13317,4.481292,51.030847,Rent,1390,Appartment,Flat,38371,2800,2011.0,Excellent,135.0,2.0,1.0,,,False,Immediately,Antwerp,Sint-Janstraat,6.0,,,138.0,70.0,,,3656
rbw13383,4.4766917,51.0250513,Rent,1790,Appartment,Triplex,38371,2800,,Normal,203.0,3.0,1.0,,20.0,,,Antwerp,Korenmarkt,1.0,,,135.0,,,,3657
rbw13646,4.4822741,51.0273442,Rent,1450,Appartment,Flat,38371,2800,,New,108.0,2.0,1.0,True,,,,Antwerp,Désiré Boucherystraat,9.0,,,,,,,3658
rbw13593,4.6575019,51.0307742,Rent,885,Appartment,Flat,45755,2580,2023.0,,90.0,2.0,1.0,,25.0,,,Antwerp,Meester van der Borghtstraat,108.0,,,,,,,3659
rbv83483,4.762046,51.34808,Rent,875,Appartment,GroundFloor,40411,2310,,Normal,87.0,2.0,1.0,False,,False,From 01/08/2026,Antwerp,Bochtenstraat,8.0,,,,,,,3660
rbv85038,4.417068,51.19856,Rent,950,Appartment,FlatStudio,40406,2600,,New,60.0,,1.0,True,5.0,False,Immediately,Antwerp,Coveliersstraat,8.0,,,,,,,3661
rbv85769,4.480669,51.02105,Rent,910,Appartment,Flat,40887,2800,,Excellent,56.0,1.0,1.0,False,,False,Immediately,Antwerp,Schuttersvest,61.0,,,,,,,3662
rbw12695,4.40823899,51.2082135,Rent,720,Appartment,Flat,38284,2018,1967.0,Normal,41.0,1.0,1.0,True,3.0,False,On contract,Antwerp,Montebellostraat,2.0,,,,,,,3663
rbw12511,4.45156,51.16893,Rent,950,Appartment,Flat,44749,2640,1973.0,Excellent,90.0,2.0,1.0,True,9.0,False,Immediately,Antwerp,Mechelsesteenweg,47.0,,,,,,,3664
rbw12516,4.65703,51.11417,Rent,1350,House,House,42468,2590,2022.0,New,144.0,3.0,2.0,False,,False,Immediately,Antwerp,J.B. Coomansstraat,40.0,,,,,,,3665
rbv83077,4.41441989,51.2201083,Rent,950,Appartment,Flat,40406,2000,1964.0,Normal,75.0,1.0,1.0,True,3.0,False,From 01/07/2026,Antwerp,Sint-Jacobsmarkt,77.0,,,,,,,3666
vbe31907,4.4011549,51.2230568,Rent,1780,Appartment,Flat,46472,2000,,,,,,,,True,From 05/09/2026,Antwerp,Zirkstraat Antwerp,,,,,,False,,3667
rbv16478,4.395574,51.21838,Rent,1000,Appartment,Flat,40406,2000,,Normal,42.0,1.0,1.0,True,,True,Immediately,Antwerp,Plantinkaai,1.0,,,,,,,3668
rbw12548,4.872457,51.08554,Rent,875,Appartment,Flat,40408,2260,2025.0,New,95.0,2.0,1.0,True,,False,From 01/09/2026,Antwerp,Bergveld,16.0,,,,,,,3669
rbv47290,4.417471,51.22442,Rent,695,Appartment,Flat,40406,2060,,Normal,44.0,1.0,1.0,False,,False,From 01/06/2026,Antwerp,Van Maerlantstraat,3.0,,,,,,,3670
rbv69857,4.4278328,51.2098121,Rent,930,Appartment,Flat,40406,2018,,New,67.0,1.0,1.0,True,8.0,False,Immediately,Antwerp,Plantin en Moretuslei,108.0,,,,,,,3671
rbw12592,4.4155989,51.2091167,Rent,2680,Appartment,Flat,38196,2018,,,280.0,3.0,2.0,False,140.0,True,From 01/09/2026,Antwerp,Antoon van Dyckstraat,38.0,,,,,False,,3672
rbw11864,4.399785,51.2084,Rent,1175,Appartment,Flat,40406,2000,,Excellent,87.0,2.0,1.0,True,,False,From 01/09/2026,Antwerp,Amerikalei,42.0,,,,,,,3673
rbw11730,4.827647,51.1794052,Rent,900,Appartment,Flat,40408,2200,2025.0,New,72.0,1.0,1.0,False,21.0,False,From 01/07/2026,Antwerp,Bijenkorf,15.0,,,,,,,3674
rbw12141,4.5810072,51.1522035,Rent,875,Appartment,Flat,45755,2520,2015.0,,81.0,2.0,1.0,,,,,Antwerp,Liersesteenweg,135.0,,,,,,,3675
rbw11753,4.4325956,51.2303708,Rent,1150,Appartment,Flat,38196,2060,2026.0,,75.0,2.0,,False,6.0,,Immediately,Antwerp,Eugène De Plynstraat,29.0,,,,,False,,3676
rbw11667,4.463336,51.23385,Rent,870,Appartment,Duplex,43717,2100,2025.0,New,60.0,1.0,1.0,True,,False,Immediately,Antwerp,Bisschoppenhoflaan,339.0,,,,,,,3677
rbw12165,4.4880325,51.251343,Rent,945,Appartment,Flat,39410,2900,,,85.0,2.0,1.0,True,,,,Antwerp,Neerhoeve,17.0,,,,,,,3678
rbw11670,4.454668,51.21164,Rent,850,Appartment,Flat,43717,2140,,Normal,91.0,2.0,1.0,True,,True,Immediately,Antwerp,Morckhovenlei,39.0,,,,,,,3679
vbe31191,4.4398313,51.2145072,Rent,4200,Appartment,Flat,46472,2140,,,,,,,,True,From 08/06/2026,Antwerp,Bothastraat Borgerhout,,,,,,False,,3680
rbw11806,4.439509,51.19741,Rent,860,Appartment,Flat,38284,2600,2019.0,New,53.0,1.0,1.0,False,5.0,False,Immediately,Antwerp,Pieter Jozef Nauwelaertsstraat,35.0,,,,,,,3681
rbw12140,4.6657613,51.0593521,Rent,930,Appartment,Flat,45755,2580,2022.0,Excellent,88.0,2.0,1.0,,,,,Antwerp,Jan De Cordesstr.,33.0,,,,,,,3682
rbw11669,4.44562156,51.23006772,Rent,1050,Appartment,Flat,43717,2100,2025.0,New,75.0,2.0,1.0,True,,False,Immediately,Antwerp,Bisschoppenhoflaan,339.0,,,,,,,3683
rbw11668,4.463336,51.23385,Rent,850,Appartment,Duplex,43717,2100,2025.0,New,52.0,1.0,1.0,True,,False,Immediately,Antwerp,Bisschoppenhoflaan,339.0,,,,,,,3684
rbw11760,4.3793096,51.2315643,Rent,950,Appartment,Flat,40684,2050,,,82.0,2.0,1.0,False,15.0,,From 01/09/2026,Antwerp,August Vermeylenlaan,7.0,,,,,False,,3685
rbw12280,4.3877887,51.2303073,Rent,1180,Appartment,Flat,40684,2050,,,90.0,2.0,1.0,False,8.0,,From 01/09/2026,Antwerp,Guicciardinistraat,11.0,1.0,,,,False,,3686
rbw12279,4.387028,51.22888,Rent,950,Appartment,Flat,40684,2050,,,90.0,2.0,,False,,,Immediately,Antwerp,Gloriantlaan,55.0,,,,,False,,3687
rbw12304,4.985353,51.06707,Rent,900,Appartment,Flat,40410,2431,2017.0,Normal,98.0,2.0,1.0,True,,False,,Antwerp,kapellestraat,42.0,,,,,,,3688
rbw11673,4.502288,51.29415,Rent,1090,Appartment,Flat,42723,2930,1995.0,Normal,95.0,2.0,1.0,False,,False,Immediately,Antwerp,Prins van Oranjestraat,1.0,1.0,,,,,,3689
rbw11672,4.443831,51.29425,Rent,1650,House,House,42723,2930,,Normal,151.0,3.0,1.0,False,,False,Negotiable,Antwerp,Gezondheidslei,12.0,,,,,,,3690
vbe31109,4.428308,51.22792,Rent,850,Appartment,Flat,47767,2060,2025.0,New,69.0,1.0,,True,6.0,False,Immediately,Antwerp,Klamperstraat,48.0,,,,,,,3692
vbe29939,4.4094689,51.1953816,Rent,1300,Appartment,Flat,46472,2018,,,,,,,,True,From 17/06/2026,Antwerp,Doornelei Antwerp,,,,,,False,,3693
vbe30008,4.4030785,51.221101,Rent,2400,Appartment,Flat,46472,2000,,,,,,,,True,From 13/06/2026,Antwerp,Wijngaardstraat Antwerp,,,,,,False,,3694
vbe30059,4.4216432,51.2270138,Rent,1045,Appartment,Flat,46472,2060,,,,,,,,,From 01/09/2026,Antwerp,Oudesteenweg Antwerp,,,,,,False,,3695
vbe30012,4.4323823,51.2067907,Rent,1440,Appartment,Flat,46472,2018,,,,,,,,True,From 01/09/2026,Antwerp,Lange Altaarstraat Antwerp,,,,,,False,,3696
rbw10826,4.886283,51.31669,Rent,1600,House,House,40407,2350,1967.0,Normal,219.0,2.0,1.0,False,,False,Immediately,Antwerp,Sparrenlaan,15.0,,,,,,,3698
rbw11539,4.7679475,51.356207,Rent,1550,House,House,46429,2310,,Normal,,4.0,1.0,,,,,Antwerp,Waterdelt,16.0,,,,,,,3699
rbw10985,4.4849054,51.2206323,Rent,985,Appartment,Flat,39410,2100,,,85.0,1.0,1.0,True,,,,Antwerp,August Van de Wielelei,237.0,,,,40.0,,,3700
vbe29999,4.4152885,51.2077496,Rent,1200,Appartment,Flat,46472,2018,,,,,,,,True,From 01/09/2026,Antwerp,Breughelstraat Antwerp,,,,,,False,,3701
rbw11065,4.422509,51.19764,Rent,745,Appartment,Flat,40406,2600,1978.0,Normal,50.0,1.0,1.0,False,,False,Negotiable,Antwerp,Van Campenhoutstraat,49.0,,,,,,,3702
rbw10948,4.580215,51.23918,Rent,1350,Appartment,Flat,38492,2970,2026.0,New,90.0,2.0,1.0,True,6.0,False,Immediately,Antwerp,turnhoutsebaan,240.0,,,,,,,3703
rbw10924,4.8369935,51.1842502,Rent,700,Appartment,Flat,31796,2200,2013.0,Normal,62.0,1.0,1.0,False,,False,,Antwerp,Nederrij,56.0,,,,,,,3704
rbw10950,4.580215,51.23918,Rent,1550,Appartment,Penthouse,38492,2970,2026.0,New,90.0,1.0,1.0,True,15.0,False,Immediately,Antwerp,turnhoutsebaan,240.0,,,,,,,3705
vbe30018,4.4216432,51.2270138,Rent,1095,Appartment,Flat,46472,2060,,,,,,,,,From 01/09/2026,Antwerp,Oudesteenweg Antwerp,,,,,,False,,3706
rbw10949,4.580215,51.23918,Rent,995,Appartment,Flat,38492,2970,2026.0,New,52.0,1.0,1.0,True,6.0,False,Immediately,Antwerp,turnhoutsebaan,240.0,,,,,,,3707
rbw10356,4.816508,51.0647242,Rent,910,Appartment,Flat,40599,2235,2023.0,,92.0,2.0,1.0,True,,,,Antwerp,,,1.0,,,,,,3708
rbw11064,4.45105961,51.10699495,Rent,745,Appartment,FlatStudio,40406,2600,,Normal,45.0,,1.0,True,,False,Immediately,Antwerp,Grote Steenweg,53.0,,,,,,,3709
vbe30002,4.418717,51.2085409,Rent,1300,Appartment,Flat,46472,2018,,,,,,,,True,From 17/06/2026,Antwerp,Charlottalei Antwerp,,,,,,False,,3710
vbe30042,4.4244679,51.2185429,Rent,2100,Appartment,Flat,46472,2060,,,,,,,,True,From 13/07/2026,Antwerp,Carnotstraat Antwerp,,,,,,False,,3711
rbw10888,4.3792818,51.1926009,Rent,865,Appartment,Flat,38196,2020,,,50.0,1.0,1.0,False,,,From 15/07/2026,Antwerp,Auguste Oleffestraat,3.0,,,,,False,,3712
rbw09859,4.411592,51.22379,Rent,430,Appartment,Flat,40406,2000,,Normal,10.0,1.0,1.0,False,,True,From 01/09/2026,Antwerp,Kleine Kauwenberg,38.0,,,,,,,3713
vbe29154,4.4059599,51.2103928,Rent,1350,Appartment,Flat,46472,2000,,,,,,,,True,From 15/08/2026,Antwerp,Britselei Antwerp,,,,,,False,,3714
rbw10047,4.789175,51.25747,Rent,1250,House,House,40408,2275,,Excellent,151.0,2.0,1.0,False,,False,Immediately,Antwerp,Borgakker,9.0,1.0,,,,,,3715
rbw10046,4.85724834,51.1815345,Rent,950,Appartment,Duplex,40408,2200,,New,90.0,2.0,1.0,True,,False,From 15/08/2026,Antwerp,Sint-Jobsstraat,212.0,,,,,,,3716
rbw09748,4.4095025,51.2140143,Rent,915,Appartment,Flat,31310,2000,,Normal,50.0,1.0,1.0,,,False,Immediately,Antwerp,Oudevaartplaats,37.0,,,,,,,3717
rbw10040,4.440998,51.2233,Rent,975,Appartment,Flat,40406,2140,,Normal,58.0,1.0,1.0,False,,False,From 01/07/2026,Antwerp,Vlagstraat,124.0,,,,,,,3718
rbw09857,4.401959,51.21186,Rent,1175,Appartment,Flat,40406,2000,,Excellent,85.0,2.0,1.0,True,14.0,False,Immediately,Antwerp,Terninckstraat,13.0,,,,,,,3719
rbw09878,5.081892,51.26599,Rent,800,Appartment,GroundFloor,40407,2470,2016.0,New,81.0,1.0,1.0,True,,False,From 01/09/2026,Antwerp,Putstraat,5.0,,,,,,,3720
rbw09243,4.7657561,51.0528977,Rent,1350,House,House,42943,2221,2023.0,New,124.0,3.0,1.0,,,False,,Antwerp,Heistseweg,1.0,2.0,160.0,,,,,3721
rbw09256,4.417661,51.19851,Rent,975,Appartment,FlatStudio,40406,2600,,New,60.0,,1.0,True,,True,Immediately,Antwerp,Belpairestraat,16.0,,,,,,,3722
rbw09732,4.480318,51.22989,Rent,920,Appartment,Flat,38284,2100,,Normal,90.0,2.0,1.0,False,2.0,False,Immediately,Antwerp,Jaak van Rillaerlaan,14.0,1.0,,,,,,3723
rbw09248,4.428737,51.2276,Rent,915,Appartment,Flat,40406,2060,,New,73.0,1.0,,True,9.0,False,Immediately,Antwerp,Tulpstraat,105.0,,,,,,,3724
rbw10044,4.566008,51.12959,Rent,895,Appartment,Flat,40409,2500,2022.0,New,72.0,1.0,1.0,True,12.0,False,From 01/07/2026,Antwerp,Paradijsweg,8.0,,,,,,,3725
vbe29152,4.3965538,51.2144638,Rent,1050,Appartment,Flat,46472,2000,,,,,,,,True,From 31/08/2026,Antwerp,Pachtstraat Antwerp,,,,,,False,,3726
rbw09159,4.6715249,51.081695,Rent,870,Appartment,Flat,45755,2590,2005.0,,100.0,2.0,1.0,,,,,Antwerp,Aarschotsebaan,18.0,1.0,,,,,,3727
rbw09961,4.405433,51.22274,Rent,950,Appartment,Flat,38284,2000,,Normal,75.0,2.0,1.0,False,,False,From 01/07/2026,Antwerp,Minderbroedersstraat,7.0,,,,,,,3728
rbw09253,4.433628,51.22193,Rent,1050,Appartment,Flat,40406,2060,,Normal,54.0,1.0,1.0,False,,False,Immediately,Antwerp,Pesthofstraat,1.0,,,,,,,3729
rbw09250,4.408623,51.22231,Rent,1250,Appartment,Flat,40406,2000,,Normal,103.0,2.0,1.0,False,,False,From 01/07/2026,Antwerp,Prinsstraat,2.0,,,,,,,3730
