referenceID,longitude,latitude,transaction_type,price,property_type,property_subtype,seller_id,postal_code,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,terrace,furnished,availability,province,street,street_number,garage,land_surface,energy_consumption,garden,balcony,swimming_pool,og_row_number
vbe36923,4.03584,50.37943,Sale,159999,House,House,39432,7041,,To be renovated,105.0,2.0,1.0,False,,False,On contract,Hainaut,,,1.0,554.0,66992.0,368.0,,,7711
vwd17882,4.4347113,50.3485547,Sale,385000,House,Villa,47452,6120,1958.0,Fully renovated,115.0,3.0,1.0,,20.0,,On contract,Hainaut,rue Nouvelle,18.0,,675.0,19367.0,360.0,,,7712
vbe36914,3.82627,50.43634,Sale,220000,House,House,33493,7301,,Normal,115.0,2.0,1.0,,30.0,False,On contract,Hainaut,,,,265.0,39873.0,,,,7713
vbe36873,3.787517,50.3944472,Sale,270000,House,House,40137,7370,,Normal,215.0,3.0,1.0,False,65.0,False,On contract,Hainaut,Rue du Chêne Brûlé,18.0,1.0,971.0,39564.0,826.0,,,7714
vbe36863,4.04413511,50.69636295,Sale,170000,House,House,33390,7860,1899.0,To be renovated,202.0,5.0,2.0,False,,False,,Hainaut,Rue Latérale,13.0,,90.0,,,,,7715
vbe36983,4.1890656,50.635683,Sale,225000,House,House,0,7090,,,,3.0,1.0,,,,On contract,Hainaut,Impasse de la Lisière,9.0,,,,,,,7716
vbe36912,3.2169535,50.742058,Sale,285000,House,House,40656,7700,,,315.0,4.0,1.0,False,,False,,Hainaut,Rue du Luxembourg,29.0,1.0,180.0,,,,,7717
vbe36980,3.780223,50.5069872,Sale,275000,House,Villa,45623,7332,,Normal,170.0,2.0,1.0,False,10.0,False,,Hainaut,Rue Albert Bériot,103.0,,1445.0,17342.0,1332.0,,,7718
vbe36963,4.4273472,50.3978121,Sale,190000,Appartment,Flat,40787,6001,,Excellent,92.0,2.0,1.0,True,,,On contract,Hainaut,Avenue de la paix,62.0,,,5967.0,,,,7719
vbe36875,4.58644,50.41114,Sale,425000,House,Villa,28338,6250,1999.0,Excellent,230.0,4.0,2.0,,30.0,False,,Hainaut,,,1.0,872.0,62799.0,350.0,,,7720
vbe37022,4.5352377,50.4638161,Sale,350000,House,House,0,6220,,,205.0,2.0,,,,,On contract,Hainaut,Chaussée de Charleroi,632.0,,885.0,,,,,7721
vbe36882,4.3859913,50.4411759,Sale,229999,House,House,45357,6044,,Normal,120.0,3.0,1.0,False,50.0,False,,Hainaut,,,,228.0,,87.0,,,7722
vbe36874,3.8889776,50.4139155,Sale,90000,House,House,40137,7080,,To renovate,116.0,2.0,1.0,,,,,Hainaut,Rue Firmin Pierard,52.0,,149.0,39268.0,30.0,,,7723
vbe36928,4.5900294,50.4681325,Sale,325000,House,House,44975,6224,,Excellent,180.0,3.0,1.0,False,,False,On contract,Hainaut,Rue Coin Dupont,15.0,1.0,3005.0,58410.0,2755.0,,,7724
vbe36896,3.5337485,50.7023338,Sale,429000,House,Cottage,46037,7910,1900.0,Normal,311.0,4.0,1.0,False,61.0,False,On contract,Hainaut,Rue Hergibette,9.0,1.0,1830.0,124952.0,1565.0,,,7725
vbe37000,3.4220483,50.589481,Sale,229000,House,House,46552,7521,,,175.0,2.0,1.0,False,,,On contract,Hainaut,,,1.0,440.0,,,False,,7726
vbe36954,4.4777803,50.4018544,Sale,209000,House,House,46245,6061,1960.0,Normal,120.0,2.0,1.0,False,5.0,False,,Hainaut,,,1.0,123.0,53406.0,37.0,,,7727
vbe36795,3.6984925,50.3683806,Sale,160000,House,House,40137,7387,,Normal,184.0,3.0,1.0,False,,False,On contract,Hainaut,Place du Centenaire,3.0,1.0,463.0,66179.0,383.0,,,7728
vbe36860,4.190061,50.4171594,Sale,290000,Appartment,Flat,0,7134,,New,133.0,3.0,1.0,True,35.0,False,On contract,Hainaut,Rue de la Valériane Ressaix,,,,60.0,,,,7729
vbe36738,4.1895148,50.482784,Sale,380000,House,House,39714,7100,,Excellent,253.0,4.0,2.0,False,22.0,False,On contract,Hainaut,Rue Jean Jaurès,141.0,,240.0,42939.0,,,,7730
vbe36753,4.2833333,50.4666667,Sale,169000,House,House,40664,7160,,Excellent,90.0,2.0,,,,,Immediately,Hainaut,,,2.0,350.0,,,,,7731
vbe36827,3.1965602,50.7524903,Sale,229000,House,House,46037,7700,1972.0,To renovate,138.0,3.0,1.0,False,8.0,False,On contract,Hainaut,Rue de Reckem,5.0,1.0,174.0,54937.0,81.0,,,7732
rbw26127,3.219272,50.7459126,Sale,220000,House,House,49077,7700,,To renovate,135.0,5.0,1.0,,,,On contract,Hainaut,,,,42.0,235.0,,,,7733
vbe36771,3.7882733,50.6335009,Sale,275000,House,House,46633,7800,1930.0,Fully renovated,119.0,3.0,1.0,,61.0,False,,Hainaut,,,,,,455.0,,,7734
rbw26136,3.5149473,50.7431781,Sale,595000,House,House,33620,7750,1989.0,Excellent,411.0,4.0,2.0,False,44.0,False,On contract,Hainaut,Rue des Marais,49.0,1.0,1150.0,,828.0,,,7735
vbe36861,4.0685218,50.4316871,Sale,340000,House,House,0,7130,2025.0,,194.0,3.0,2.0,,35.0,False,,Hainaut,Rue du Parc,45.0,1.0,540.0,10500.0,383.0,,,7736
vbe36818,4.18068445,50.3079073,Sale,200000,House,House,28892,6560,,Normal,156.0,3.0,1.0,False,15.0,False,On contract,Hainaut,rue du Calvaire,18.0,,,,,,,7737
vbe36748,4.1078728,50.5029755,Sale,195000,House,House,44003,7070,,Normal,154.0,2.0,1.0,False,,False,On contract,Hainaut,Place de la Chapelle,3.0,1.0,130.0,58689.0,65.0,False,,7738
vbe36776,3.3880367,50.6056059,Sale,199000,House,MixedBuilding,40858,7500,1930.0,To be renovated,200.0,,,,,,,Hainaut,,,1.0,440.0,84916.0,,,,7740
rbw26137,3.3849535,50.6092802,Sale,250000,House,MixedBuilding,47417,7500,1700.0,To be renovated,537.0,3.0,1.0,False,60.0,,On contract,Hainaut,Rue Saint-Jacques,13.0,,327.0,,,,,7741
vbe36786,4.141006,50.608334,Sale,265000,House,House,27721,7090,,,150.0,3.0,1.0,,15.0,,From 01/09/2026,Hainaut,,,,90.0,,,,,7742
vbe36794,3.9003448,50.4069434,Sale,260000,House,House,40137,7080,,Normal,124.0,2.0,1.0,False,15.0,False,On contract,Hainaut,Rue de la Maladrie,36.0,,308.0,,178.0,,,7743
vbe36732,3.4849502,50.7401612,Sale,245000,House,House,38349,7750,,,125.0,2.0,,False,,False,,Hainaut,,,1.0,467.0,,,,,7744
vbe36778,3.7688684,50.647418,Sale,150000,House,House,40403,7803,,To be renovated,189.0,4.0,2.0,,21.0,,On contract,Hainaut,Route de Flobecq,101.0,,450.0,98635.0,272.0,,,7745
vbe36799,4.6082955,50.4266258,Sale,199000,House,House,42622,6250,,Normal,,2.0,1.0,,10.0,,On contract,Hainaut,Rue d'Oignies,146.0,,300.0,41223.0,260.0,,,7746
vbe36728,3.3880367,50.6056059,Sale,345000,Appartment,Flat,38349,7500,2020.0,,124.0,3.0,,True,,False,,Hainaut,,,,,,,,,7747
rbw25641,4.4501621,50.409786,Sale,395000,House,House,48551,6000,,Normal,210.0,5.0,1.0,False,,False,On contract,Hainaut,Rue Émile Tumelaire,61.0,,,,,,,7748
vbe36684,4.0087029,50.4387617,Sale,170000,House,House,28376,7030,,,185.0,4.0,1.0,,,,,Hainaut,Rue François Marcq,16.0,,620.0,62013.0,,,,7749
vbe36705,4.16381635,50.02772525,Sale,120000,House,House,33575,6590,,,137.0,3.0,1.0,False,,False,Negotiable,Hainaut,Rue d'En Haut,37.0,,380.0,,,,,7750
vbe36659,3.7920247,50.6358738,Sale,195000,Appartment,Flat,27528,7800,2008.0,Normal,90.0,2.0,,True,,False,,Hainaut,Impasse de Lorette,3.0,,,,,,,7751
vbe36671,3.3880367,50.6056059,Sale,209000,House,House,38349,7500,,,150.0,3.0,1.0,False,,False,,Hainaut,,,,81.0,,,,,7752
rbw25627,4.12,50.48055,Sale,175000,House,House,48566,7110,,Normal,196.0,2.0,1.0,False,10.0,False,On contract,Hainaut,,,,250.0,,120.0,,,7753
vbe36661,3.8645777,50.4443909,Sale,119000,House,House,33896,7390,,To be renovated,159.0,3.0,1.0,False,,False,Negotiable,Hainaut,,,,70.0,,,,,7754
vbe36704,4.4309752,49.9453667,Sale,270000,House,Villa,33575,6464,,Normal,185.0,3.0,1.0,False,,False,On contract,Hainaut,,,2.0,3600.0,,,,,7755
vbe36678,4.0418874,50.6947227,Sale,475000,House,House,39494,7850,1935.0,Normal,210.0,6.0,2.0,False,40.0,False,,Hainaut,,,,2481.0,,2232.0,,,7756
vbe36730,3.3788194,50.6379973,Sale,125000,House,House,38349,7540,1974.0,,173.0,2.0,1.0,False,,False,,Hainaut,,,,225.0,,,,,7757
vbe36672,3.219272,50.7459126,Sale,255000,House,House,38349,7700,,,193.0,3.0,1.0,False,,False,,Hainaut,,,1.0,352.0,,,,,7758
vbe36655,3.3880367,50.6056059,Sale,249000,House,House,47311,7500,,Normal,161.0,5.0,1.0,False,5.0,False,On contract,Hainaut,,,,127.0,48287.0,,,,7759
vbe36633,4.4768918,50.3736274,Sale,249000,House,House,39279,6280,,To renovate,176.0,3.0,1.0,,,,,Hainaut,Avenue du Vieux Frêne,5.0,1.0,460.0,84534.0,,,,7760
vbe36702,3.5977321,50.5153635,Sale,180000,House,House,37448,7600,1975.0,,,1.0,,False,18.0,False,,Hainaut,Rue de la Loquette,51.0,1.0,558.0,,,,,7761
vbe36729,3.283159,50.6448071,Sale,468000,House,House,38349,7520,,,235.0,5.0,1.0,False,,False,,Hainaut,,,,712.0,,,,,7762
vbe36681,4.0418874,50.6947227,Sale,550000,House,House,39494,7850,2003.0,Normal,250.0,4.0,2.0,False,30.0,False,,Hainaut,,,2.0,1430.0,,1300.0,,,7763
vbe36731,3.4220483,50.589481,Sale,175000,House,House,38349,7521,,To be renovated,,3.0,1.0,False,,False,,Hainaut,,,1.0,892.0,,,,,7764
vbe36625,4.3481826,50.4517705,Sale,170000,House,House,40288,6182,,Normal,170.0,2.0,1.0,False,,False,On contract,Hainaut,Rue de la libération,38.0,1.0,240.0,67346.0,,,,7765
vbe36653,4.3453094,50.1505494,Sale,42000,House,Villa,39714,6440,,,,3.0,,,,,On contract,Hainaut,Rue du Gouty,114.0,,544.0,,,,,7766
vbe36518,4.46585868,50.4170316,Sale,160000,House,House,33164,6061,1951.0,To be renovated,126.0,3.0,,False,,False,On contract,Hainaut,Rue du Gazomètre,26.0,,,,,,,7767
vbe36535,4.2660214,50.0844529,Sale,325000,House,House,33575,6460,1964.0,,270.0,4.0,2.0,False,,False,On contract,Hainaut,,,1.0,405.0,,,,,7768
vbe36512,4.467581,50.43132,Sale,85000,House,House,33164,6060,,To be renovated,72.0,1.0,,False,,False,On contract,Hainaut,Rue de la Discipline,48.0,,,,,,,7769
vbe36458,4.485583,50.4258498,Sale,187000,House,House,44162,6060,1960.0,Normal,132.0,3.0,1.0,False,32.0,False,On contract,Hainaut,Rue Paradis des Chevaux,40.0,,310.0,33561.0,260.0,,,7770
vbe36531,3.219272,50.7459126,Sale,159000,Appartment,Duplex,33262,7700,,Normal,95.0,2.0,1.0,False,27.0,False,,Hainaut,,,,,14417.0,,True,,7771
vbe36506,4.4712797,50.4285121,Sale,210000,House,House,33164,6060,,Normal,233.0,4.0,,False,5.0,False,On contract,Hainaut,Rue du Polonais,5.0,2.0,,,5.0,,,7772
vbe36514,4.4284582,50.40405145,Sale,125000,Appartment,Flat,33164,6001,1969.0,Normal,90.0,2.0,,True,,False,On contract,Hainaut,Rue Vital Françoisse,115.0,,,,,,,7773
vbe36508,4.24575603,50.45652695,Sale,175000,House,House,33164,7140,,Normal,120.0,3.0,,False,,False,Immediately,Hainaut,Rue Belle-Hôtesse,20.0,,,,,,,7774
vbe36581,4.4777803,50.4018544,Sale,95000,Appartment,Flat,27202,6061,,Normal,72.0,2.0,1.0,True,,,,Hainaut,,,,,30055.0,,,,7775
vbe36494,4.2134218,50.4750024,Sale,189000,House,House,27461,7100,,Normal,119.0,2.0,1.0,,,False,On contract,Hainaut,Rue Auguste Saintes,43.0,,171.0,41971.0,71.0,,,7776
vbe36548,3.9441137,50.4514729,Sale,153000,Appartment,FlatStudio,42869,7000,2025.0,New,13.0,,1.0,True,,,,Hainaut,Rue André Masquelier,11.0,,,,,,,7777
rbw25605,3.3134357,50.7288571,Sale,207400,Appartment,Flat,47417,7711,2026.0,New,70.0,1.0,1.0,False,,False,On contract,Hainaut,Boulevard des Canadiens,38.0,,,,,,,7778
vbe36555,3.4269429,50.5921028,Sale,219000,Appartment,Flat,40901,7500,,,63.0,1.0,1.0,False,,,On contract,Hainaut,Rue de la Brasserie,15.0,1.0,,,,False,,7779
